;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;sub heat pump 1;sub heat pump 2;sub heat pump 3;sub heat pump 4;sub heat pump 5;sub heat pump 6;sub heat pump 7;ccet;plb;st-tes;sub st-tes
invest;14397335.49;10832241.553393714;0.0;0.0;0.0;0.0;0.0;4744010.005863121;2455883.320884401;2226070.771147891;0.0;0.0;0.0;0.0;487378619.31230265;14820000.0;2210858.25;407572.81008
op_cost_fix;200000.0;145050.64745499435;0.0;0.0;0.0;0.0;0.0;48755.74508369192;14728.549669751877;11310.960691922715;0.0;0.0;0.0;0.0;16227492.665739167;481650.0;25416.0;2540.376
op_cost_var;151809.24692183826;110138.93512740484;0.0;0.0;0.0;0.0;0.0;44220.44239306756;13362.944245670893;10296.781317480927;0.0;0.0;0.0;0.0;8408009.561939817;25901.891560297277;5002.134908848004;88.50379321680637
op_cost;351809.24692183826;255189.5825823992;0.0;0.0;0.0;0.0;0.0;92976.18747675949;28091.49391542277;21607.742009403642;0.0;0.0;0.0;0.0;24635502.227678984;507551.8915602973;30418.134908848006;2628.879793216807
