;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;sub heat pump 1;sub heat pump 2;sub heat pump 3;sub heat pump 4;sub heat pump 5;sub heat pump 6;sub heat pump 7;ccet;plb;st-tes;sub st-tes
invest;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4346968.815378756;4185927.9071679544;1745322.4454239924;0.0;0.0;0.0;0.0;487378619.31230265;14820000.0;2210858.25;407572.81008
op_cost_fix;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45394.49437672068;42914.5033484534;5329.769656177954;0.0;0.0;0.0;0.0;16227492.665739167;481650.0;25416.0;2540.376
op_cost_var;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36157.311627953466;33872.679111122634;4151.507472309549;0.0;0.0;0.0;0.0;10007852.184082549;118911.46136849825;4861.454279247932;159.40162417784973
op_cost;0.0;0.0;0.0;0.0;0.0;0.0;0.0;81551.80600467414;76787.18245957603;9481.277128487502;0.0;0.0;0.0;0.0;26235344.849821717;600561.4613684983;30277.454279247933;2699.77762417785
