;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;ice;solar;s-tes
invest;10598039.552142195;8141486.3093217965;7296574.0881464;6967584.3948049415;5473590.168724389;5086390.252250293;4181936.044412054;0.0;32637015.8804664;7336119.430308051
op_cost_fix;46399.46074708269;29922.610008869877;24255.526425037024;22048.892358610676;12028.218091189248;9431.150330399592;3364.7005086202953;0.0;8167.6511665839125;259303.8868036303
op_cost_var;92002.43872830285;58637.635056275394;47421.561335355;43016.11789084612;23572.729512081998;18451.231948692264;6578.393748914766;0.0;19057.85272202913;1356.6287099831654
op_cost;138401.89947538555;88560.24506514527;71677.08776039202;65065.0102494568;35600.94760327125;27882.382279091857;9943.09425753506;0.0;27225.503888613042;260660.51551361347
