;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;ice;solar;s-tes
invest;6255973.373154048;4041769.006492533;3822016.524774148;3757084.74425108;3240233.548701518;1723022.6273327786;1663952.1364517903;0.0;32637015.8804664;5236584.217036387
op_cost_fix;70385.64601289193;37765.65757082971;34528.23128728557;33571.646627768096;25957.31785173327;3605.5406335174475;2735.3053657991145;0.0;8167.6511665839125;183123.36382570345
op_cost_var;96981.14639677992;51739.68562194559;46814.306711558165;45328.74588996411;35190.45929029489;4846.111153524404;3659.52433729624;0.0;19057.85272202913;1392.8086414960073
op_cost;167366.79240967185;89505.3431927753;81342.53799884373;78900.39251773221;61147.777142028164;8451.65178704185;6394.8297030953545;0.0;27225.503888613042;184516.17246719945
