;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;ice;solar;s-tes
invest;4867799.574442495;4051154.6942353006;3843684.21426827;3767345.803745891;3642084.2697725017;3204554.80687999;0.0;0.0;32637015.8804664;5879484.480275776
op_cost_fix;52734.298841902615;40277.789663668336;37113.18531659118;35948.77452510668;34038.12586320194;27364.368514860114;0.0;0.0;8167.6511665839125;206450.65929883078
op_cost_var;66674.77557999724;50248.55947071497;46787.50363251002;45422.02884427107;42653.67088083292;34321.537434426034;0.0;0.0;19057.85272202913;1558.375065423108
op_cost;119409.07442189986;90526.34913438332;83900.6889491012;81370.80336937775;76691.79674403486;61685.90594928615;0.0;0.0;27225.503888613042;208009.0343642539
