;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;ccet;plb;st-tes
invest;3775460.522477283;3748700.392711726;3700555.477954276;3339351.9805242326;1976959.271640609;1752212.5708164573;1714429.1434683078;525309080.03995794;13680000.0;2210858.25
op_cost_fix;38639.641802410064;38212.071278532334;37442.8169212016;31671.545631575525;9903.378983358685;6312.399961468625;5708.700354378635;17490404.596784964;444600.0;25416.0
op_cost_var;16927.375440341097;16716.504380492326;16413.816643282953;13883.969990062309;4344.877098156423;2765.4072991588478;2504.003219982248;8946439.319329605;109825.15659241877;5057.184935046664
op_cost;55567.01724275116;54928.57565902466;53856.63356448455;45555.51562163784;14248.256081515108;9077.807260627473;8212.703574360883;26436843.91611457;554425.1565924188;30473.184935046665
