;H_ccet;H_plb;H_source;P_ccet;P_ccet_no_bonus;P_ccet_no_bonus_ext;P_ccet_no_bonus_int;P_ccet_with_bonus;P_in_hp1;P_in_hp2;P_in_hp3;P_in_hp4;P_in_hp5;P_in_hp6;P_in_hp7;P_source;P_spotmarket;Q_ccet;Q_demand;Q_in_st-tes;Q_out_hp1;Q_out_hp2;Q_out_hp3;Q_out_hp4;Q_out_hp5;Q_out_hp6;Q_out_hp7;Q_out_st-tes;Q_plb;storage_content_st-tes;Q_out_hp;P_in_hp;Emissions OM;Emissions DM
2040-01-01 00:00:00;1182.5295247309934;0.0;1182.5295247309934;603.3919706070055;603.3919706070055;597.7933707099604;5.598599897045111;0.0;5.250105792211588;0.34849410483352244;0.0;0.0;0.0;0.0;0.0;0.0;597.7933707099604;324.65078194331755;157.89;181.5323310519762;13.852069617662426;0.9194794909961977;0.0;0.0;0.0;0.0;0.0;0.0;0.0;181.5323310519762;14.771549108658624;5.598599897045111;237.92494037587588;237.92494037587588
2040-01-01 01:00:00;1182.5295247309934;0.0;1182.5295247309934;603.3919706070055;603.3919706070055;597.7933707099604;5.598599897045111;0.0;5.250105792211588;0.34849410483352244;0.0;0.0;0.0;0.0;0.0;0.0;597.7933707099604;324.65078194331755;156.96;182.46233105197618;13.852069617662426;0.9194794909961977;0.0;0.0;0.0;0.0;0.0;0.0;0.0;363.9855854873998;14.771549108658624;5.598599897045111;237.92494037587588;237.92494037587588
2040-01-01 02:00:00;1182.5292747618591;0.0;1182.5292747618591;604.238735930925;604.238735930925;598.6544355504515;5.584300380473579;0.0;5.23669637268553;0.3476040077880489;0.0;0.0;0.0;0.0;0.0;0.0;598.6544355504515;324.65078194331215;154.9;184.61744905970963;13.941266847783664;0.9254002686138305;0.0;0.0;0.0;0.0;0.0;0.0;0.0;548.584835267835;14.866667116397494;5.584300380473579;237.92489008208605;237.92489008208605
2040-01-01 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.204707877361887;0.3454806597101261;0.0;0.0;0.0;0.0;0.0;5.550188537072013;0.0;0.0;143.27;0.0;14.226785372690903;0.944352557708375;0.0;0.0;0.0;0.0;0.0;128.09886206960073;0.0;420.458543956471;15.17113793039928;5.550188537072013;0.0;0.0
2040-01-01 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.212454229359055;0.3459948508734704;0.0;0.0;0.0;0.0;0.0;5.558449080232525;0.0;0.0;155.22;0.0;14.125462162317664;0.9376268758087334;0.0;0.0;0.0;0.0;0.0;140.1569109618736;0.0;280.2806100673996;15.063089038126398;5.558449080232525;0.0;0.0
2040-01-01 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.223286953159469;0.34671391074257524;0.0;0.0;0.0;0.0;0.0;5.5700008639020435;0.0;0.0;176.6;0.0;14.030657477411951;0.9313338837990766;0.0;0.0;0.0;0.0;0.0;161.63800863878896;0.0;118.6285873981073;14.961991361211028;5.5700008639020435;0.0;0.0
2040-01-01 06:00:00;0.0;73.02179566504269;73.02179566504269;0.0;0.0;0.0;0.0;0.0;5.263515211737649;0.3493842018789961;0.0;0.0;0.0;0.0;0.0;5.612899413616645;0.0;0.0;202.66999999999996;0.0;13.763066548014091;0.913571601457944;0.0;0.0;0.0;0.0;0.0;118.62265596873739;69.37070588179056;0.0;14.676638149472035;5.612899413616645;14.691985287806588;14.691985287806588
2040-01-01 07:00:00;0.0;201.12181577253898;201.12181577253898;0.0;0.0;0.0;0.0;0.0;5.278198425775918;0.3503588514831882;0.0;0.0;0.0;0.0;0.0;5.628557277259106;0.0;0.0;205.65000000000003;0.0;13.676452710539762;0.9078223055482139;0.0;0.0;0.0;0.0;0.0;0.0;191.06572498391205;0.0;14.584275016087975;5.628557277259106;40.46570933343484;40.46570933343484
2040-01-01 08:00:00;0.0;199.74470681000014;199.74470681000014;0.0;0.0;0.0;0.0;0.0;5.298606716248187;0.3517135230271153;0.0;0.0;0.0;0.0;0.0;5.6503202392753025;0.0;0.0;204.26000000000002;0.0;13.599794670070468;0.9027338604293994;0.0;0.0;0.0;0.0;0.0;0.0;189.75747146950013;0.0;14.502528530499868;5.6503202392753025;40.18863501017203;40.18863501017203
2040-01-01 09:00:00;0.0;197.6289173363159;197.6289173363159;0.0;0.0;0.0;0.0;0.0;5.298606716248187;0.3517135230271153;0.0;0.0;0.0;0.0;0.0;5.6503202392753025;0.0;0.0;202.25;0.0;13.599794670070468;0.9027338604293994;0.0;0.0;0.0;0.0;0.0;0.0;187.7474714695001;0.0;14.502528530499868;5.6503202392753025;39.76293816806676;39.76293816806676
2040-01-01 10:00:00;0.0;197.27102259947378;197.27102259947378;0.0;0.0;0.0;0.0;0.0;5.298606716248187;0.3517135230271153;0.0;0.0;0.0;0.0;0.0;5.6503202392753025;0.0;0.0;201.91;0.0;13.599794670070468;0.9027338604293994;0.0;0.0;0.0;0.0;0.0;0.0;187.4074714695001;0.0;14.502528530499868;5.6503202392753025;39.690929747014124;39.690929747014124
2040-01-01 11:00:00;0.0;197.20786470473692;197.20786470473692;0.0;0.0;0.0;0.0;0.0;5.298606716248187;0.3517135230271153;0.0;0.0;0.0;0.0;0.0;5.6503202392753025;0.0;0.0;201.84999999999997;0.0;13.599794670070468;0.9027338604293994;0.0;0.0;0.0;0.0;0.0;0.0;187.34747146950008;0.0;14.502528530499868;5.6503202392753025;39.67822237859307;39.67822237859307
2040-01-01 12:00:00;0.0;196.8183910205264;196.8183910205264;0.0;0.0;0.0;0.0;0.0;5.298606716248187;0.3517135230271153;0.0;0.0;0.0;0.0;0.0;5.6503202392753025;0.0;0.0;201.48;0.0;13.599794670070468;0.9027338604293994;0.0;0.0;0.0;0.0;0.0;0.0;186.9774714695001;0.0;14.502528530499868;5.6503202392753025;39.59986027332991;39.59986027332991
2040-01-01 13:00:00;0.0;204.09207523105272;204.09207523105272;0.0;0.0;0.0;0.0;0.0;5.298606716248187;0.3517135230271153;0.0;0.0;0.0;0.0;0.0;5.6503202392753025;0.0;0.0;208.39;0.0;13.599794670070468;0.9027338604293994;0.0;0.0;0.0;0.0;0.0;0.0;193.8874714695001;0.0;14.502528530499868;5.6503202392753025;41.0633255364878;41.0633255364878
2040-01-01 14:00:00;715.5237643411481;0.0;715.5237643411481;363.04141872578066;363.04141872578066;357.36933552448914;5.6720832012915;0.0;5.319015006720457;0.3530681945710425;0.0;0.0;0.0;0.0;0.0;0.0;357.36933552448914;196.43919377508627;210.86;0.0;13.523159304478979;0.8976469204347778;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.420806224913756;5.6720832012915;143.963381385439;143.963381385439
2040-01-01 15:00:00;1182.5311022087412;0.0;1182.5311022087412;598.2795056333247;598.2795056333247;592.5638965080008;5.7156091253238905;0.0;5.359831587664994;0.3557775376588966;0.0;0.0;0.0;0.0;0.0;0.0;592.5638965080008;324.6507819433835;234.89;104.01821610997959;13.369956609978201;0.8874775566178934;0.0;0.0;0.0;0.0;0.0;0.0;0.0;104.01821610997959;14.257434166596095;5.7156091253238905;236.82674158667587;236.82674158667587
2040-01-01 16:00:00;1182.5316984716872;0.0;1182.5316984716872;596.5642061179815;596.5642061179815;596.5642061179815;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;596.5642061179815;324.6507819434299;246.54;78.11078194342988;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;182.12379714260396;0.0;0.0;196.25449415494668;-7.566748499478369e+17
2040-01-01 17:00:00;1182.5319500516352;0.0;1182.5319500516352;595.718142366234;595.718142366234;595.718142366234;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;595.718142366234;324.65078194343266;237.96;86.69078194343265;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;268.8054728961795;0.0;0.0;195.20688207831748;-7.556017128808886e+17
2040-01-01 18:00:00;1182.531389155295;0.0;1182.531389155295;597.4203605481957;597.4203605481957;597.4203605481957;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;597.4203605481957;324.6507819434226;219.61000000000004;105.04078194342256;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;373.8328145659573;0.0;0.0;194.60548023963614;194.60548023963614
