;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;ccet;plb;st-tes
invest;11992473.322981095;2708182.3411045815;0.0;0.0;0.0;0.0;0.0;522741113.13536376;13320000.0;2210858.25
op_cost_fix;162933.4818696359;19833.247383475285;0.0;0.0;0.0;0.0;0.0;17404902.971438818;432900.0;25416.0
op_cost_var;72458.15374823162;8869.534493560577;0.0;0.0;0.0;0.0;0.0;8897911.675361408;106386.70521071009;5029.177399108362
op_cost;235391.63561786752;28702.781877035864;0.0;0.0;0.0;0.0;0.0;26302814.646800227;539286.7052107101;30445.17739910836
