;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;ccet;plb;st-tes
invest;8240379.409108003;2781647.0466286866;5581915.704142456;6666190.8931287145;6914784.475079392;8603414.632952193;4346789.473648839;312793373.39066565;7080000.0;2210858.25
op_cost_fix;105101.86931705152;20965.570423272053;64126.55086827255;80838.65458134458;84670.2664877722;110697.3882166907;45089.356369665744;10414597.5458483;230100.0;25416.0
op_cost_var;97278.85131530839;19447.440061190326;59477.17649336331;74977.97586468387;78359.09793720786;102447.76812005484;41728.60697268983;6365703.354104512;14048.282834974798;3252.059463646151
op_cost;202380.7206323599;40413.01048446238;123603.72736163586;155816.63044602846;163029.36442498007;213145.15633674554;86817.96334235556;16780300.899952814;244148.2828349748;28668.05946364615
