timeindex;heat_demand;temp_feed_flow;temp_back_flow;T_foerde_scaled;T_hs_ff;T_cons_ff;T_cons_bf;solar_heat_flow;el_spot_price;co2_price;ef_om;ef_dm;hp_c_1;hp_c_0;hp_Q_max;hp_Q_min;biogas_price;ice_H_max;ice_H_min;ice_eta_el;ice_eta_th
2040-12-06 22:00:00;46.95;78.64;38.52;7.19;7;78;40;0.0;96.8984198223;80.0;0.097275082446302;0.9370000000000004;3.0475819700090563;-0.1161362103913304;1.0214339782234507;0.2994605008228586;124.82;2.6909435726880857;1.5656651556114989;0.4350757819482243;0.3523585378594898
2040-12-06 23:00:00;45.82;78.58;38.51;7.19;7;78;40;0.0;93.7176470588;80.0;0.019290653507356;0.9370000000000002;3.0475819700090563;-0.1161362103913304;1.0214339782234507;0.2994605008228586;124.82;2.6909435726880857;1.5656651556114989;0.4350757819482243;0.3523585378594898
2040-12-07 00:00:00;45.07;78.44;38.38;7.66;7;78;40;0.0;91.17321;80.0;0.0;0.0;3.0475819700090563;-0.1161362103913304;1.0214339782234507;0.2994605008228586;124.82;2.6909435726880857;1.5656651556114989;0.4350757819482243;0.3523585378594898
2040-12-07 01:00:00;45.04;78.55;38.48;7.66;7;78;40;0.0;91.17321;80.0;0.0;0.0;3.0475819700090563;-0.1161362103913304;1.0214339782234507;0.2994605008228586;124.82;2.6909435726880857;1.5656651556114989;0.4350757819482243;0.3523585378594898
2040-12-07 02:00:00;45.98;78.99;38.43;7.66;7;78;40;0.0;93.7176470588;80.0;0.0476777439032635;0.9370000000000024;3.0475819700090563;-0.1161362103913304;1.0214339782234507;0.2994605008228586;124.82;2.6909435726880857;1.5656651556114989;0.4350757819482243;0.3523585378594898
2040-12-07 03:00:00;47.12;79.44;38.23;7.66;7;79;40;0.0;96.8984198223;80.0;0.1037437225252027;0.9370000000000012;3.012049843285572;-0.1152116477798766;1.0217064677179493;0.3002199778376916;124.82;2.6909435726880857;1.5656651556114982;0.4350635508497109;0.3523585378594898
2040-12-07 04:00:00;48.12;79.14;38.14;7.66;7;79;40;0.0;97.3464285714;80.0;0.2118627498443558;1.022566092034625;3.012049843285572;-0.1152116477798766;1.0217064677179493;0.3002199778376916;124.82;2.6909435726880857;1.5656651556114982;0.4350635508497109;0.3523585378594898
2040-12-07 05:00:00;50.15;79.24;38.02;7.66;7;79;40;0.0;99.8952781674;80.0;0.23048758061711;0.8404644650487262;3.012049843285572;-0.1152116477798766;1.0217064677179493;0.3002199778376916;124.82;2.6909435726880857;1.5656651556114982;0.4350635508497109;0.3523585378594898
2040-12-07 06:00:00;50.88;79.37;38.01;7.66;7;79;40;0.0;100.357142857;80.0;0.2976126887237401;0.815629634761581;3.012049843285572;-0.1152116477798766;1.0217064677179493;0.3002199778376916;124.82;2.6909435726880857;1.5656651556114982;0.4350635508497109;0.3523585378594898
2040-12-07 07:00:00;52.66;79.16;38.1;7.66;7;79;40;0.0;100.357142857;80.0;0.3462958037379097;0.8791160364647942;3.012049843285572;-0.1152116477798766;1.0217064677179493;0.3002199778376916;124.82;2.6909435726880857;1.5656651556114982;0.4350635508497109;0.3523585378594898
