timeindex;heat_demand;temp_feed_flow;temp_back_flow;T_foerde_scaled;T_hs_ff;T_cons_ff;T_cons_bf;solar_heat_flow;el_spot_price;co2_price;ef_om;ef_dm;hp_c_1;hp_c_0;hp_Q_max;hp_Q_min;biogas_price;ice_H_max;ice_H_min;ice_eta_el;ice_eta_th
2040-01-17 20:00:00;62.0;82.21;40.04;5.98;5;82;40;0.0;141.428571429;126.0;0.3018292499876701;0.7092262008497289;3.228206116160237;-0.1240604178116512;0.9752020930791367;0.2914755329738013;124.82;2.690943572688086;1.5656651556114989;0.435036015593531;0.3523585378594898
2040-01-17 21:00:00;62.87;82.26;39.74;5.98;5;82;40;0.0;141.428571429;126.0;0.2326805430832582;0.5950248705119762;3.228206116160237;-0.1240604178116512;0.9752020930791367;0.2914755329738013;124.82;2.690943572688086;1.5656651556114989;0.435036015593531;0.3523585378594898
2040-01-17 22:00:00;62.93;82.22;39.75;5.98;5;82;40;0.0;127.941044881;126.0;0.2285289194123899;0.5895458035090244;3.228206116160237;-0.1240604178116512;0.9752020930791367;0.2914755329738013;124.82;2.690943572688086;1.5656651556114989;0.435036015593531;0.3523585378594898
2040-01-17 23:00:00;63.49;83.04;39.78;5.98;5;83;40;0.0;127.941044881;126.0;0.2325855331193698;0.5895458035090244;3.18782128883684;-0.1215500854062717;0.971888096256765;0.2909575407506682;124.82;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2040-01-18 00:00:00;62.79;82.14;40.12;6.01;6;82;40;0.0;122.047058824;126.0;0.2214879719994744;0.5751876939473747;3.2782906809801835;-0.1268181792028395;0.9728103672781194;0.2897927780723301;124.82;2.690943572688086;1.5656651556114989;0.435036015593531;0.3523585378594898
2040-01-18 01:00:00;64.52;82.08;39.94;6.01;6;82;40;0.0;122.047058824;126.0;0.2392489148076078;0.5895458035090241;3.2782906809801835;-0.1268181792028395;0.9728103672781194;0.2897927780723301;124.82;2.690943572688086;1.5656651556114989;0.435036015593531;0.3523585378594898
2040-01-18 02:00:00;65.23;82.11;40.12;6.01;6;82;40;0.0;122.672505;126.0;0.2460752015910911;0.5895458035090244;3.2782906809801835;-0.1268181792028395;0.9728103672781194;0.2897927780723301;124.82;2.690943572688086;1.5656651556114989;0.435036015593531;0.3523585378594898
2040-01-18 03:00:00;66.2;81.74;40.18;6.01;6;81;40;0.0;125.821710127;126.0;0.2470861896887408;0.5895458035090241;3.3188741334595755;-0.129058799710985;0.9765093163963556;0.2904109423857043;124.82;2.6909435726880857;1.565665155611498;0.435043925476487;0.3523585378594898
2040-01-18 04:00:00;69.5;82.1;40.34;6.01;6;82;40;0.0;127.941044881;126.0;0.2470696257526392;0.5895458035090244;3.2782906809801835;-0.1268181792028395;0.9728103672781194;0.2897927780723301;124.82;2.690943572688086;1.5656651556114989;0.435036015593531;0.3523585378594898
2040-01-18 05:00:00;75.91;83.65;40.6;6.01;6;83;40;0.0;141.428571429;126.0;0.3476737746831979;0.7641856877475725;3.2377545152649976;-0.1244622165044196;0.9692280213208312;0.2892179235678033;124.82;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
