date;heat_demand;temp_feed_flow;temp_back_flow;T_foerde_scaled;T_hs_ff;T_cons_ff;T_cons_bf;solar_heat_flow;el_spot_price;co2_price;ef_om;ef_dm;hp_c_1;hp_c_0;hp_Q_max;hp_Q_min;biogas_price;ice_H_max;ice_H_min;ice_eta_el;ice_eta_th
2019-09-10 09:00:00;20.84;82.52;38.79;14.72;14;82;40;0.0;36.0;25.75;0.319583893;0.679155268;3.2632464478647374;-0.12927982557014345;0.9735999549557928;0.2816518525315302;84.07;2.690943572688086;1.5656651556114989;0.435036015593531;0.3523585378594898
2019-09-10 10:00:00;19.64;82.59;38.81;14.72;14;82;40;3.810906761314916e-06;32.6;25.75;0.277401647;0.671584285;3.2632464478647374;-0.12927982557014345;0.9735999549557928;0.2816518525315302;84.07;2.690943572688086;1.5656651556114989;0.435036015593531;0.3523585378594898
2019-09-10 11:00:00;19.76;83.22;38.72;14.72;14;83;40;0.0001762848663941;31.04;25.75;0.254090293;0.654754117;3.224404999900814;-0.12860629038175872;0.973570651639122;0.2821507140791513;84.07;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2019-09-10 12:00:00;19.53;83.29;39.08;14.72;14;83;40;0.0;31.07;25.75;0.258034423;0.652597633;3.224404999900814;-0.12860629038175872;0.973570651639122;0.2821507140791513;84.07;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2019-09-10 13:00:00;18.93;83.07;39.55;14.72;14;83;40;4.108249986222125e-05;31.3;25.75;0.268980086;0.655312759;3.224404999900814;-0.12860629038175872;0.973570651639122;0.2821507140791513;84.07;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
2019-09-10 14:00:00;18.85;81.71;39.41;14.72;14;81;40;0.0;32.01;25.75;0.289731211;0.660252834;3.3026972647697357;-0.12990141317532594;0.9736176157625845;0.28116082978531903;84.07;2.6909435726880857;1.565665155611498;0.435043925476487;0.3523585378594898
2019-09-10 15:00:00;20.06;81.54;39.66;14.72;14;81;40;0.0;34.1;25.75;0.314957961;0.659743329;3.3026972647697357;-0.12990141317532594;0.9736176157625845;0.28116082978531903;84.07;2.6909435726880857;1.565665155611498;0.435043925476487;0.3523585378594898
2019-09-10 16:00:00;20.14;81.64;39.62;14.72;14;81;40;0.0;39.18;25.75;0.365450793;0.670763478;3.3026972647697357;-0.12990141317532594;0.9736176157625845;0.28116082978531903;84.07;2.6909435726880857;1.565665155611498;0.435043925476487;0.3523585378594898
2019-09-10 17:00:00;20.7;81.89;39.68;14.72;14;81;40;0.0;44.94;25.75;0.424533327;0.672519195;3.3026972647697357;-0.12990141317532594;0.9736176157625845;0.28116082978531903;84.07;2.6909435726880857;1.565665155611498;0.435043925476487;0.3523585378594898
2019-09-10 18:00:00;21.04;82.73;39.77;14.72;14;82;40;0.0;48.02;25.75;0.471052846;0.672330863;3.2632464478647374;-0.12927982557014345;0.9735999549557928;0.2816518525315302;84.07;2.690943572688086;1.5656651556114989;0.435036015593531;0.3523585378594898
2019-09-10 19:00:00;21.11;83.18;39.43;14.72;14;83;40;0.0;51.59;25.75;0.483227118;0.671098434;3.224404999900814;-0.12860629038175872;0.973570651639122;0.2821507140791513;84.07;2.6909435726880866;1.5656651556114982;0.4350289705709897;0.3523585378594898
