;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;ice;solar;s-tes
invest;3687400.8826721716;3807478.020328655;3541862.035801403;2365119.3708319203;4519258.794350804;3149869.53658347;4484459.2268189145;0.0;32637015.8804664;1259556.1210442872
op_cost_fix;32545.05360251383;34314.04787489717;30400.953638537354;13065.00547199036;44800.10822753397;24626.06176929971;44287.435816725505;0.0;8167.6511665839125;38819.006206251346
op_cost_var;39789.52067527123;41904.09169864264;37171.82549025858;15860.890968866388;54770.29201681248;30004.58261921186;54213.69046254374;0.0;19057.85272202913;1000.9500731155863
op_cost;72334.57427778507;76218.13957353981;67572.77912879594;28925.896440856748;99570.40024434644;54630.64438851157;98501.12627926924;0.0;27225.503888613042;39819.95627936693
