;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;ccet;plb;st-tes
invest;14397335.49;14250635.545245688;13998700.130393703;13981517.543909643;12036804.370626178;11297426.07871345;10918699.242032005;0.0;2280000.0;2210858.25
op_cost_fix;200000.0;197738.89072041924;193855.77061883445;193590.93271578426;163616.76326671962;152220.60957515327;146383.2333833568;0.0;74100.0;25416.0
op_cost_var;226096.71816994264;223848.00218986764;218634.84228089475;218836.98642202246;184755.67729762415;171713.152100488;165616.8202629386;0.0;755.8815818580814;5688.607383100396
op_cost;426096.7181699426;421586.8929102869;412490.61289972917;412427.91913780675;348372.44056434376;323933.7616756413;312000.0536462954;0.0;74855.88158185808;31104.607383100396
