;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;ccet;plb;st-tes
invest;14243788.11028047;14025458.538542667;8058858.873323875;7552215.021367659;7264133.605058742;6783197.98606513;6133326.041101503;70323336.33800843;15360000.0;2210858.25
op_cost_fix;197633.3501302908;194268.20216455698;102304.0648012874;94495.08357079473;90054.83947403128;82642.10327424206;72625.52496020519;2341447.4485268714;499200.0;25416.0
op_cost_var;297491.7199083951;294361.1645729853;148757.10299615693;138661.73686210334;129502.25608157119;114252.23912955687;99725.68265864221;1234085.7297333842;24551.927872404885;3778.191257516153
op_cost;495125.0700386859;488629.3667375423;251061.16779744433;233156.82043289806;219557.09555560246;196894.34240379895;172351.2076188474;3575533.1782602556;523751.92787240486;29194.191257516155
