;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;ccet;plb;st-tes
invest;14397335.49;13325057.740950542;13177337.328830618;6509586.201610697;6149786.397223601;5444064.676508766;4958820.124805321;71830262.31190836;15300000.0;2210858.25
op_cost_fix;200000.0;183472.81471220579;181195.97680891113;78424.88188490421;72879.23101330026;62001.83133750314;54522.68088137858;2391621.2337942217;497250.0;25416.0
op_cost_var;300162.775030409;274697.57163577;271915.27083315974;111839.43362318464;101781.22840961562;86073.87509809504;73387.7118032425;1256110.8936293274;22592.803127559382;3819.615334654859
op_cost;500162.775030409;458170.38634797576;453111.24764207087;190264.31550808885;174660.45942291588;148075.7064355982;127910.3926846211;3647732.127423549;519842.80312755937;29235.61533465486
