;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;ccet;plb;st-tes
invest;11351130.865897404;10559612.125974672;9499424.562385106;8648401.297433306;8075062.822022961;7586530.62837929;7131690.748623466;75309814.74138835;18240000.0;2210858.25
op_cost_fix;153048.36989137504;140848.56728886763;124507.72992765921;111390.77473899638;102553.81880651704;95023.99540902612;88013.47693499611;2507474.5135484985;592800.0;25416.0
op_cost_var;225581.9791279682;206674.18198455093;183101.16396897033;162881.62409627278;148444.64406402194;136835.3940246244;127302.6739193533;1394601.4082048202;69641.48986629776;3867.8825624584815
op_cost;378630.34901934327;347522.74927341857;307608.89389662957;274272.39883526915;250998.462870539;231859.38943365053;215316.15085434943;3902075.921753319;662441.4898662978;29283.882562458482
