;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;ccet;plb;st-tes
invest;11897976.345974592;11606831.195019126;9794562.984110922;9417651.887904538;8486015.90051108;7369455.915602445;4499092.838535467;73872139.00410257;15240000.0;2210858.25
op_cost_fix;161476.98512753026;156989.5192076701;129056.74475682426;123247.35485803115;108887.90312262207;91678.18878146347;47436.83204345195;2459606.4463865967;495300.0;25416.0
op_cost_var;241686.9730027562;234972.92149505808;192479.68083417852;182687.38541015406;160155.0363775793;130744.43468150882;65916.0617805956;1316415.9355828797;35262.59037008461;3828.925220473464
op_cost;403163.9581302864;391962.44070272817;321536.4255910028;305934.7402681852;269042.9395002014;222422.6234629723;113352.89382404755;3776022.381969476;530562.5903700846;29244.925220473466
