;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;ccet;plb;st-tes
invest;14397335.489999931;12933650.140921464;11537776.554050481;8730907.4195672;6497344.5232575955;4727057.941743608;4062423.144282393;74082513.25023857;15240000.0;2210858.25
op_cost_fix;199999.99999999892;177439.9879241223;155925.16918522245;112662.45455245239;78236.19897457183;50950.49396846341;40706.373491194776;2466610.952536352;495300.0;25416.0
op_cost_var;299880.9859704788;265954.9322229362;232161.87168766386;166133.32995107674;111450.09198210413;72962.00224001017;57310.33397225172;1327651.50296015;41461.723400357296;3827.623637213892
op_cost;499880.9859704777;443394.9201470585;388087.0408728863;278795.78450352914;189686.29095667595;123912.49620847357;98016.7074634465;3794262.455496502;536761.7234003573;29243.623637213892
