;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;ccet;plb;st-tes
invest;13218938.481429642;12276335.439482978;10925958.687846322;9115700.71862636;6978262.468901882;6068732.592932684;5469189.812698467;71864469.61234622;15300000.0;2210858.25
op_cost_fix;181837.18190507148;167308.69323606673;146495.12436138585;118593.33408127773;85648.66277225329;71629.93600276395;62389.089006102855;2392760.181411073;497250.0;25416.0
op_cost_var;272398.49960890005;249792.35213328057;217260.16187394442;174205.99567211268;120143.85526344295;100836.672035325;86546.46190721598;1249765.0737748058;20413.703438440247;3810.1516589456437
op_cost;454235.68151397153;417101.0453693473;363755.2862353303;292799.3297533904;205792.51803569624;172466.60803808895;148935.55091331885;3642525.255185879;517663.7034384402;29226.151658945644
