;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;ccet;plb;st-tes
invest;12548519.43661113;11278333.677649098;10586590.288727831;10204094.105893768;8166090.993200646;6748514.920618435;3955014.1941921553;81871206.35605429;18180000.0;2210858.25
op_cost_fix;171503.90791518986;151926.33540014672;141264.3859468049;135368.91223099155;103956.8502997997;82107.5277414621;39050.86248084095;2725939.0298095345;590850.0;25416.0
op_cost_var;235889.1265243771;208970.72718320496;194076.4779314657;185975.84156516023;142814.08908872053;110477.35555599941;53503.843175974995;1793525.2502232878;72411.20489820158;3965.0806522870635
op_cost;407393.03443956695;360897.0625833517;335340.8638782706;321344.7537961518;246770.93938852023;192584.8832974615;92554.70565681595;4519464.280032823;663261.2048982016;29381.080652287063
