;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;ccet;plb;st-tes
invest;2319214.7921529734;0.0;0.0;0.0;0.0;0.0;0.0;397136560.9522098;16320000.0;2210858.25
op_cost_fix;13838.029485723422;0.0;0.0;0.0;0.0;0.0;0.0;13222842.31352244;530400.0;25416.0
op_cost_var;10534.685888393591;0.0;0.0;0.0;0.0;0.0;0.0;9464332.741139075;39185.53038539438;3688.346686838378
op_cost;24372.71537411701;0.0;0.0;0.0;0.0;0.0;0.0;22687175.054661512;569585.5303853943;29104.346686838377
