;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;ccet;plb;st-tes
invest;14183470.776460646;11704078.684520964;10873156.183678467;7172275.624386847;6876227.609125043;6422235.276169648;5617612.72643786;74618532.17099182;17460000.0;2210858.25
op_cost_fix;196703.66959463697;158488.4100306816;145681.27107494464;88639.01799673882;84075.98345960243;77078.5283574676;64676.7546771473;2484457.9461477958;567450.0;25416.0
op_cost_var;294054.1604229161;236040.8803282776;215705.22795142204;125566.50901212299;123122.38025099202;113286.02745714081;93224.73332886511;1347609.0142539453;51847.482203024156;3840.778213088893
op_cost;490757.83001755306;394529.29035895923;361386.4990263667;214205.52700886183;207198.36371059445;190364.5558146084;157901.4880060124;3832066.960401741;619297.4822030242;29256.77821308889
