;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;ccet;plb;st-tes
invest;14056347.88807964;10713879.519915294;10327122.33640397;9254217.00000983;8451546.266364409;6582126.830246951;4495768.362610977;86939781.00953132;18000000.0;2210858.25
op_cost_fix;194744.3045584279;143226.31485080477;137265.1656625992;120728.30727253367;108356.6172399769;79542.96198255355;47385.59137410341;2894699.526794622;585000.0;25416.0
op_cost_var;255807.60947869663;189123.1830146114;180739.72406847496;158475.83114639568;142477.1595562241;104706.70466964263;61655.452627920284;2065563.1919667574;66684.2214066873;3928.352960224798
op_cost;450551.9140371245;332349.49786541617;318004.88973107416;279204.13841892936;250833.776796201;184249.66665219617;109041.0440020237;4960262.71876138;651684.2214066873;29344.352960224798
