;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;ccet;plb;st-tes
invest;14397335.49;12452896.091974897;8839789.076056354;7858629.845883034;6734699.270771311;6521832.42268659;6290234.580988391;73693945.92858405;15240000.0;2210858.25
op_cost_fix;200000.0;170030.05029197372;114340.6646177395;99217.90336648833;81894.5849613875;78613.63481293613;75043.98091925749;2453673.4269403554;495300.0;25416.0
op_cost_var;301750.3661244892;255956.24570768807;168195.7402688016;144575.37204214343;118181.64760851057;115541.20158363764;107700.75504706775;1301181.4532538464;29700.969782524393;3818.057357715887
op_cost;501750.3661244892;425986.2959996618;282536.4048865411;243793.27540863177;200076.23256989807;194154.83639657375;182744.73596632524;3754854.880194202;525000.9697825244;29234.057357715887
