;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;ccet;plb;st-tes
invest;11663737.816581743;10943202.03010036;10143418.081826787;8972987.379882265;8888484.856420817;8473528.233430276;7386622.114596483;65210759.67705241;6960000.0;2210858.25
op_cost_fix;157866.62989984057;146760.89870265702;134433.70314624594;116393.67098600762;115091.22032546601;108695.42874941074;91942.77410155718;2171221.8847018587;226200.0;25416.0
op_cost_var;233275.63893846908;208903.89995569832;198900.79708667498;164787.44595111813;146726.4239841251;154897.45602024993;133646.0715257999;1128386.646529374;8955.754451124236;3723.0586416190217
op_cost;391142.2688383097;355664.7986583554;333334.5002329209;281181.11693712574;261817.64430959112;263592.88476966065;225588.84562735708;3299608.531231233;235155.75445112423;29139.05864161902
