;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;ccet;plb;st-tes
invest;14336986.777088175;13354780.720815506;7647510.249443568;7591662.706427062;7196631.657052904;7104516.583142426;5736793.822674197;76784490.33033328;18420000.0;2210858.25
op_cost_fix;199069.8358134748;183930.93966720844;95963.88388195414;95103.09693368437;89014.42135198363;87594.63725624267;66513.711624213;2556574.507589506;598650.0;25416.0
op_cost_var;287546.55328848807;265413.49542231875;138660.95366578535;131685.29890406772;127775.48644346779;125553.53148916294;95075.45318199277;1514930.7190864652;77124.37395810364;3914.04147556404
op_cost;486616.3891019629;449344.43508952716;234624.8375477395;226788.3958377521;216789.9077954514;213148.16874540562;161589.16480620578;4071505.2266759714;675774.3739581036;29330.04147556404
