;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;ccet;plb;st-tes
invest;14397335.49;13556199.653218487;12216357.725797815;11721574.413654994;5936808.964556725;2832463.3708842495;2350484.520745265;73584530.95026894;15240000.0;2210858.25
op_cost_fix;200000.0;187035.44129399752;166384.24731886692;158758.07445055747;69596.57640732295;21748.81040690579;14319.9947216914;2450030.4055032725;495300.0;25416.0
op_cost_var;301368.55155037617;280988.33936748386;248460.02222919854;236571.60353383524;95567.20713525976;28083.248078346634;18595.27171113523;1309931.4967652052;35041.73122021962;3817.8154682104064
op_cost;501368.55155037617;468023.7806614814;414844.2695480655;395329.67798439274;165163.7835425827;49832.058485252426;32915.266432826626;3759961.9022684777;530341.7312202196;29233.815468210407
