;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;ccet;plb;st-tes
invest;11889267.571670651;11679616.71588573;10294456.110162374;8941934.14890888;7697007.107781244;6686273.470972159;6343984.9050897155;72444629.08430502;15300000.0;2210858.25
op_cost_fix;161342.7554219541;158111.37386771257;136761.67598912006;115915.04266182877;96726.78673024662;81148.1905064996;75872.44310313575;2412076.854738792;497250.0;25416.0
op_cost_var;242494.04673367643;237048.0625514306;204469.09250514625;163773.30862413946;144517.9545460384;115489.73500315491;109120.64305028992;1272614.0467951552;25373.763281624535;3805.8363065888075
op_cost;403836.80215563055;395159.43641914317;341230.7684942663;279688.3512859682;241244.74127628503;196637.9255096545;184993.08615342568;3684690.9015339473;522623.76328162453;29221.836306588808
