;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;ccet;plb;st-tes
invest;13173802.443647793;11648840.651235383;11116603.248130504;7187255.405717569;7079719.219377747;6488018.649804938;6248625.357608839;77580916.29831873;18360000.0;2210858.25
op_cost_fix;181141.49306863072;157637.0175515843;149433.55889919083;88869.90371813234;87212.43159548826;78092.4578229353;74402.65142688979;2583091.872205385;596700.0;25416.0
op_cost_var;259703.69302874018;225599.93124401153;213783.42792526455;126450.41435225101;120486.87521424377;110917.3097611612;105643.25092595213;1570827.3642840567;82088.70453783189;3924.129443334658
op_cost;440845.1860973709;383236.9487955958;363216.9868244554;215320.31807038333;207699.30680973205;189009.76758409652;180045.90235284192;4153919.2364894417;678788.704537832;29340.12944333466
