;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;ccet;plb;st-tes
invest;14397335.49;11162799.47405989;9975641.813635478;7883371.410189652;7211635.160117604;6752184.315911569;5567787.539440722;76073272.15569998;18420000.0;2210858.25
op_cost_fix;200000.0;150145.58858199322;131847.74118466416;99599.2489814354;89245.6727001871;82164.08470718999;63908.79124768076;2532894.175184102;598650.0;25416.0
op_cost_var;290899.6110579775;218331.71675056274;191141.25169727203;139527.90062002908;128681.08972450955;117693.33041530833;92199.02975237853;1468071.5029783838;77919.85775946289;3906.217376762703
op_cost;490899.6110579775;368477.30533255596;322988.9928819362;239127.14960146448;217926.76242469664;199857.41512249832;156107.82100005928;4000965.6781624854;676569.8577594629;29322.217376762703
