;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;ccet;plb;st-tes
invest;14397335.49;14290346.908629289;14090226.442429198;13675520.50256143;13446705.31299731;10752538.866646027;10247439.796475265;0.0;1980000.0;2210858.25
op_cost_fix;200000.0;198350.9681987158;195266.4800353639;188874.55227763578;185347.78783816076;143822.17743126987;136037.0061649586;0.0;64350.0;25416.0
op_cost_var;226397.70189131983;223449.56148300745;220244.59948196536;213501.04909703907;209733.41007569802;162287.67907856387;153872.26137686888;0.0;847.213967781376;5689.4040238272355
op_cost;426397.7018913198;421800.5296817232;415511.0795173292;402375.6013746748;395081.1979138588;306109.8565098337;289909.2675418275;0.0;65197.213967781376;31105.404023827236
