;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;ccet;plb;st-tes
invest;14397335.49;10694635.418754756;5403663.653159843;4555948.867436524;4374152.313633635;2250284.381168569;1468127.4223882419;312536322.03815514;7080000.0;2210858.25
op_cost_fix;200000.0;142929.70249839962;61379.12402188826;48313.162942987015;45511.10411816642;12775.5942395263;720.0862395147866;10406038.904224938;230100.0;25416.0
op_cost_var;185026.3680522074;132436.77794250348;56754.79818323932;44854.72715310363;42160.43292922965;11841.651609904844;667.7218521065788;6365550.270547416;14041.066581993226;3253.251633596845
op_cost;385026.3680522074;275366.4804409031;118133.92220512757;93167.89009609065;87671.53704739606;24617.245849431143;1387.8080916213653;16771589.174772354;244141.06658199322;28669.251633596847
