;H_ccet;H_plb;H_source;P_ccet;P_ccet_no_bonus;P_ccet_no_bonus_ext;P_ccet_no_bonus_int;P_ccet_with_bonus;P_in_hp2;P_in_hp3;P_in_hp4;P_in_hp1;P_in_hp5;P_in_hp6;P_in_hp7;P_in_sub_hp2;P_in_sub_hp1;P_in_sub_hp3;P_in_sub_hp4;P_in_sub_hp5;P_in_sub_hp6;P_in_sub_hp7;P_source;P_spotmarket;P_sub_source;Q_ccet;Q_demand;Q_in_st-tes;Q_in_sub_st-tes;Q_out_hp2;Q_out_hp3;Q_out_hp4;Q_out_hp1;Q_out_hp5;Q_out_hp6;Q_out_hp7;Q_out_prim;Q_out_st-tes;Q_out_sub_hp2;Q_out_sub_hp1;Q_out_sub_hp3;Q_out_sub_hp4;Q_out_sub_hp5;Q_out_sub_hp6;Q_out_sub_hp7;Q_out_sub_st-tes;Q_plb;Q_prim_to_sub;Q_sub_demand;storage_content_st-tes;storage_content_sub_st-tes;Q_out_hp;P_in_hp;Q_out_sub_hp;P_in_sub_hp;Emissions OM;Emissions DM;Sub Emissions OM;Sub Emissions DM
2040-01-01 00:00:00;1245.7234664243306;0.0;1245.7234664243306;635.6370149896742;635.6370149896742;630.557559409149;5.079455580525131;0.0;0.0;0.0;0.0;5.079455580525131;0.0;0.0;0.0;0.0;2.215448285208154;0.0;0.0;0.0;0.0;0.0;0.0;630.557559409149;2.215448285208154;342.0000000015215;157.89;185.7765921561319;0.0;0.0;0.0;0.0;13.401819907255378;0.0;0.0;0.0;11.735227752645025;0.0;0.0;6.40081779788398;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.38818220211602;15.789;0.0;0.0;13.401819907255378;5.079455580525131;6.40081779788398;2.215448285208154;250.6395614445753;250.6395614445753;0.0;0.0
2040-01-01 01:00:00;1245.7234664243306;0.0;1245.7234664243306;635.6370149896742;635.6370149896742;630.557559409149;5.079455580525131;0.0;0.0;0.0;0.0;5.079455580525131;0.0;0.0;0.0;0.0;2.222247305785496;0.0;0.0;0.0;0.0;0.0;0.0;630.557559409149;2.222247305785496;342.0000000015215;156.96;186.7721960871172;0.0;0.0;0.0;0.0;13.401819907255378;0.0;0.0;0.0;11.669623821659693;0.0;0.0;6.360300942672248;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.335699057327755;15.696000000000003;185.7765921561319;0.0;13.401819907255378;5.079455580525131;6.360300942672248;2.222247305785496;250.6395614445753;250.6395614445753;0.0;0.0
2040-01-01 02:00:00;1245.723203096938;0.0;1245.723203096938;636.5290311402231;636.5290311402231;631.4625491174774;5.066482022745727;0.0;0.0;0.0;0.0;5.066482022745727;0.0;0.0;0.0;0.0;2.215448285208154;0.0;0.0;0.0;0.0;0.0;0.0;631.4625491174774;2.215448285208154;342.00000000151584;154.9;189.22664010634634;0.0;0.0;0.0;0.0;13.48811785747551;0.0;0.0;0.0;11.361477752645026;0.0;0.0;6.40081779788398;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.089182202116021;15.490000000000002;372.5394994136413;0.0;13.48811785747551;5.066482022745727;6.40081779788398;2.215448285208154;250.63950846310394;250.63950846310394;0.0;0.0
2040-01-01 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.035533286184015;0.0;0.0;0.0;0.0;2.208381597530098;0.0;0.0;0.0;0.0;0.0;5.035533286184015;0.0;2.208381597530098;0.0;143.27;0.0;0.0;0.0;0.0;0.0;13.764355846209916;0.0;0.0;0.0;9.85778944529065;139.36343359908074;0.0;6.440768443767482;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.88623155623252;14.327000000000002;561.7475125450169;0.0;13.764355846209916;5.035533286184015;6.440768443767482;2.208381597530098;0.0;0.0;0.0;0.0
2040-01-01 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.043027849615307;0.0;0.0;0.0;0.0;2.208381597530098;0.0;0.0;0.0;0.0;0.0;5.043027849615307;0.0;2.208381597530098;0.0;155.22;0.0;0.0;0.0;0.0;0.0;13.6663260603853;0.0;0.0;0.0;11.351539445290648;152.90521338490535;0.0;6.440768443767482;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.081231556232519;15.522;422.3559915703089;0.0;13.6663260603853;5.043027849615307;6.440768443767482;2.208381597530098;0.0;0.0;0.0;0.0
2040-01-01 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0535084649663204;0.0;0.0;0.0;0.0;2.208381597530098;0.0;0.0;0.0;0.0;0.0;5.0535084649663204;0.0;2.208381597530098;0.0;176.6;0.0;0.0;0.0;0.0;0.0;13.57460292091664;0.0;0.0;0.0;14.024039445290647;177.049436524374;0.0;6.440768443767482;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.219231556232518;17.66;269.42966038582506;0.0;13.57460292091664;5.0535084649663204;6.440768443767482;2.208381597530098;0.0;0.0;0.0;0.0
2040-01-01 06:00:00;0.0;120.39529470985185;120.39529470985185;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.092429138304537;0.0;0.0;0.0;0.0;2.222247305785496;0.0;0.0;0.0;0.0;0.0;5.092429138304537;0.0;2.222247305785496;0.0;202.66999999999996;0.0;0.0;0.0;0.0;0.0;13.315709806487549;0.0;0.0;0.0;17.38337382165969;92.36213404081283;0.0;6.360300942672248;0.0;0.0;0.0;0.0;0.0;0.0;114.37552997435927;13.906699057327751;20.267;92.36675237843176;0.0;13.315709806487549;5.092429138304537;6.360300942672248;2.222247305785496;24.223533295622193;24.223533295622193;0.0;0.0
2040-01-01 07:00:00;0.0;221.2875720142745;221.2875720142745;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.106635086991775;0.0;0.0;0.0;0.0;2.229466176049892;0.0;0.0;0.0;0.0;0.0;5.106635086991775;0.0;2.229466176049892;0.0;205.65000000000003;0.0;0.0;0.0;0.0;0.0;13.231911277939355;0.0;0.0;0.0;17.80510469150011;0.0;0.0;6.320916246799914;0.0;0.0;0.0;0.0;0.0;0.0;210.22319341356078;14.244083753200087;20.565;0.0;0.0;13.231911277939355;5.106635086991775;6.320916246799914;2.229466176049892;44.52305948927203;44.52305948927203;0.0;0.0
2040-01-01 08:00:00;0.0;219.71958921031123;219.71958921031123;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.126380023385653;0.0;0.0;0.0;0.0;2.229466176049892;0.0;0.0;0.0;0.0;0.0;5.126380023385653;0.0;2.229466176049892;0.0;204.26000000000002;0.0;0.0;0.0;0.0;0.0;13.15774494170447;0.0;0.0;0.0;17.631354691500107;0.0;0.0;6.320916246799914;0.0;0.0;0.0;0.0;0.0;0.0;208.73360974979565;14.105083753200086;20.426000000000002;0.0;0.0;13.15774494170447;5.126380023385653;6.320916246799914;2.229466176049892;44.20758134911462;44.20758134911462;0.0;0.0
2040-01-01 09:00:00;0.0;217.33932605241648;217.33932605241648;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.126380023385653;0.0;0.0;0.0;0.0;2.229466176049892;0.0;0.0;0.0;0.0;0.0;5.126380023385653;0.0;2.229466176049892;0.0;202.25;0.0;0.0;0.0;0.0;0.0;13.15774494170447;0.0;0.0;0.0;17.380104691500108;0.0;0.0;6.320916246799914;0.0;0.0;0.0;0.0;0.0;0.0;206.47235974979566;13.904083753200087;20.225;0.0;0.0;13.15774494170447;5.126380023385653;6.320916246799914;2.229466176049892;43.728672401746195;43.728672401746195;0.0;0.0
