;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;sub heat pump 1;sub heat pump 2;sub heat pump 3;sub heat pump 4;sub heat pump 5;sub heat pump 6;sub heat pump 7;ccet;plb;st-tes;sub st-tes
invest;11530963.96629118;0.0;0.0;0.0;0.0;0.0;0.0;7472969.055516835;0.0;0.0;0.0;0.0;0.0;0.0;561223864.6626515;16200000.0;2210858.25;407572.81008
op_cost_fix;53701.92024707942;0.0;0.0;0.0;0.0;0.0;0.0;25494.22149786894;0.0;0.0;0.0;0.0;0.0;0.0;18686203.675699648;526500.0;25416.0;2540.376
op_cost_var;34280.72125670611;0.0;0.0;0.0;0.0;0.0;0.0;14510.629033687594;0.0;0.0;0.0;0.0;0.0;0.0;10053963.45235078;300291.237507744;5206.359360053901;175.17527227164805
op_cost;87982.64150378553;0.0;0.0;0.0;0.0;0.0;0.0;40004.850531556534;0.0;0.0;0.0;0.0;0.0;0.0;28740167.128050428;826791.237507744;30622.359360053902;2715.5512722716485
