;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;sub heat pump 1;sub heat pump 2;sub heat pump 3;sub heat pump 4;sub heat pump 5;sub heat pump 6;sub heat pump 7;ccet;plb;st-tes;sub st-tes
invest;10248558.439378535;2211151.378154276;2109275.8891224996;2062058.871526597;0.0;0.0;0.0;3178483.7751124036;3053020.346267448;0.0;0.0;0.0;0.0;0.0;561223864.6626515;16200000.0;2210858.25;407572.81008
op_cost_fix;136054.24798364748;12172.431120401274;10602.208214064394;9874.444909047299;0.0;0.0;0.0;25474.487394107706;23608.69532995459;0.0;0.0;0.0;0.0;0.0;18686203.675699648;526500.0;25416.0;2540.376
op_cost_var;60321.22856765946;5393.429567589162;4702.941756906851;4374.158302456348;0.0;0.0;0.0;10259.81491913873;9551.757428672317;0.0;0.0;0.0;0.0;0.0;9959337.298839444;117933.62321030593;5199.963951416436;189.53271341754552
op_cost;196375.47655130696;17565.860687990436;15305.149970971244;14248.603211503647;0.0;0.0;0.0;35734.30231324644;33160.45275862691;0.0;0.0;0.0;0.0;0.0;28645540.974539094;644433.6232103059;30615.963951416437;2729.9087134175456
