;H_bio_source;H_ice;P_ice;P_ice_no_bonus;P_ice_no_bonus_ext;P_ice_no_bonus_int;P_ice_no_bonus_node;P_ice_with_bonus;P_in_hp1;P_in_hp2;P_in_hp3;P_in_hp4;P_in_hp5;P_in_hp6;P_in_hp7;P_source;P_spotmarket;Q_demand;Q_ice;Q_in_s-tes;Q_out_hp1;Q_out_hp2;Q_out_hp3;Q_out_hp4;Q_out_hp5;Q_out_hp6;Q_out_hp7;Q_out_s-tes;Q_sol;storage_content_s-tes;Q_out_hp;P_in_hp;Emissions OM;Emissions DM
2019-01-01 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.910277237318363;5.06794864979574;4.004174720859434;2.2624663459053016;1.5788332571537553;0.9490906762251531;0.18445074638188105;19.95724163363963;0.0;47.14;0.0;9.60032457373105;16.803476899378502;14.408657097567554;11.384247256320803;6.43240569816153;4.488772201249717;2.698354512486607;0.5244109085663367;0.0;0.0;6632.050156028972;56.74032457373106;19.95724163363963;5.711673825651359;11.921571567158145
2019-01-01 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.8541014996598095;5.019779039067443;3.9661160207974957;2.2409621573866345;1.5638268337155359;0.940069801788814;0.18269758721123372;19.767552939626967;0.0;45.44;0.0;11.341273544711836;16.81560381428599;14.419055693024895;11.392463162980475;6.437047906260434;4.492011706909743;2.7003018901489275;0.5247893711013718;0.0;0.0;6643.059827065883;56.78127354471183;19.767552939626963;5.095317101715703;11.500031651983214
2019-01-01 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.8541014996598095;5.019779039067443;3.9661160207974957;2.2409621573866345;1.5638268337155359;0.940069801788814;0.18269758721123372;19.767552939626967;0.0;46.17;0.0;10.611273544711832;16.81560381428599;14.419055693024895;11.392463162980475;6.437047906260434;4.492011706909743;2.7003018901489275;0.5247893711013718;0.0;0.0;6653.338947619242;56.78127354471183;19.767552939626963;5.013112843276382;11.63782195300792
2019-01-01 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.8541014996598095;5.019779039067443;3.9661160207974957;2.2409621573866345;1.5638268337155359;0.940069801788814;0.18269758721123372;19.767552939626967;0.0;46.04;0.0;10.741273544711834;16.81560381428599;14.419055693024895;11.392463162980475;6.437047906260434;4.492011706909743;2.7003018901489275;0.5247893711013718;0.0;0.0;6663.747554216573;56.78127354471183;19.767552939626963;4.9302676614681;11.982381569413027
2019-01-01 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.910277237318363;5.06794864979574;4.004174720859434;2.2624663459053016;1.5788332571537553;0.9490906762251531;0.18445074638188105;19.95724163363963;0.0;47.22;0.0;9.520324573731052;16.803476899378502;14.408657097567554;11.384247256320803;6.43240569816153;4.488772201249717;2.698354512486607;0.5244109085663367;0.0;0.0;6672.934691412594;56.74032457373106;19.95724163363963;4.8103806851283;12.08897873749567
2019-01-01 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.910277237318363;5.06794864979574;4.004174720859434;2.2624663459053016;1.5788332571537553;0.9490906762251531;0.18445074638188105;19.95724163363963;0.0;50.33;0.0;6.410324573731053;16.803476899378502;14.408657097567554;11.384247256320803;6.43240569816153;4.488772201249717;2.698354512486607;0.5244109085663367;0.0;0.0;6679.011369251754;56.74032457373106;19.95724163363963;4.694734616691781;12.084712438037165
2019-01-01 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.910277237318363;5.06794864979574;4.004174720859434;2.2624663459053016;1.5788332571537553;0.9490906762251531;0.18445074638188105;19.95724163363963;0.0;53.41;0.0;3.3303245737310547;16.803476899378502;14.408657097567554;11.384247256320803;6.43240569816153;4.488772201249717;2.698354512486607;0.5244109085663367;0.0;0.0;6682.007743257022;56.74032457373106;19.95724163363963;4.554485400470003;12.05018764735995
2019-01-01 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.968006652546912;5.117450509050953;4.043286027457472;2.2845652854099816;1.5942547199750539;0.9583610450314406;0.186252393461964;20.152176632933777;0.0;55.92999999999999;0.0;0.7785294580068403;16.79406087124333;14.400583035191467;11.377867957970519;6.428801223123809;4.48625686435888;2.696842457442262;0.5241170486765638;0.0;0.0;6682.452172327867;56.70852945800683;20.15217663293378;4.523840937137033;12.075346987432408
2019-01-01 08:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.968006652546912;5.117450509050953;4.043286027457472;2.2845652854099816;1.5942547199750539;0.9583610450314406;0.186252393461964;20.152176632933777;0.0;57.82;0.0;0.0;16.79406087124333;14.400583035191467;11.377867957970519;6.428801223123809;4.48625686435888;2.696842457442262;0.5241170486765638;1.1114705419931674;0.0;6681.006579177257;56.70852945800683;20.15217663293378;4.443468071528433;12.033033562917119
2019-01-01 09:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.968006652546912;5.117450509050953;4.043286027457472;2.2845652854099816;1.5942547199750539;0.9583610450314406;0.186252393461964;20.152176632933777;0.0;59.809999999999995;0.0;0.0;16.79406087124333;14.400583035191467;11.377867957970519;6.428801223123809;4.48625686435888;2.696842457442262;0.5241170486765638;3.1014705419931623;0.0;6677.571058306305;56.70852945800683;20.15217663293378;4.532670774546166;12.243496386518427
