;heat pump 1;heat pump 2;heat pump 3;heat pump 4;heat pump 5;heat pump 6;heat pump 7;ice;solar;s-tes
invest;6525733.155711985;6071634.91943911;4601700.163631629;2577653.2486679405;1971382.0176058428;0.0;0.0;0.0;32264317.44175177;1216288.878959202
op_cost_fix;78023.21618226054;71096.73077220331;48675.411272256315;17802.066462912502;8554.444470464134;0.0;0.0;0.0;8071.029553519351;37249.07724815681
op_cost_var;95553.66438859412;87718.80678168421;59424.050832831694;21731.673859590115;10448.532366203739;4.0773784348857586e-11;0.0;0.0;18832.402291545153;1005.8193411742856
op_cost;173576.88057085464;158815.53755388752;108099.46210508801;39533.74032250262;19002.976836667873;4.0773784348857586e-11;0.0;0.0;26903.431845064504;38254.896589331096
