timeindex;heat_demand;temp_feed_flow;temp_back_flow;T_foerde_scaled;T_hs_ff;T_cons_ff;el_spot_price;gas_price;co2_price;ef_om;ef_dm;hp_Q_max;hp_Q_min;hp_c_1;hp_c_0;ccet_H_max;ccet_H_min;ccet_eta_el;ccet_eta_th;biogas_price
2040-01-03 03:00:00;235.34;108.65;50;5.815349658890706;5;108;111.004757016;30.32;126.0;0.1482854940842855;0.4455999999999999;1.0052315144844388;0.3093451119650479;2.353595710677664;-0.0791729704572433;3.642453906793362;1.6751362002796806;0.499133224648443;0.2745401934004007;124.82
2040-01-03 04:00:00;244.06;110.03;50;5.815349658890706;5;110;118.385647059;30.32;126.0;0.1466342940800486;0.4455999999999999;0.9962226377402732;0.3093606187907743;2.2919877393027024;-0.0718949806884728;3.642455361608576;1.675136263991682;0.497766311887429;0.2745400837476214;124.82
2040-01-03 05:00:00;279.62;114.31;50;5.815349658890706;5;114;125.821710127;30.32;126.0;0.2431596222554968;0.5895458035090242;0.9787789147125516;0.3088624869011931;2.1742112933171813;-0.0579909295862702;3.6424575805529553;1.675136391708467;0.4950565724633197;0.2745399165012817;124.82
2040-01-03 06:00:00;296.38;116.7;50;5.815349658890706;5;116;137.185714286;30.32;126.0;0.2587318695696342;0.6164492852185296;0.969013339601365;0.3075831422984794;2.1176584324852405;-0.0515779014610534;3.6424589191326655;1.675136456111732;0.4937235287358782;0.2745398156096792;124.82
2040-01-03 07:00:00;289.94;115.85;50;5.815349658890706;5;115;137.185714286;30.32;126.0;0.4047936455033187;0.9455871683173812;0.9738778520486028;0.3082270760262834;2.145669849658639;-0.0547476724476912;3.642458042345152;1.675136423781221;0.4943906609402805;0.2745398816951718;124.82
2040-01-03 08:00:00;271.32;110.88;50;5.815349658890706;5;110;137.185714286;30.32;126.0;0.2879350924955952;0.7294769650491876;0.9962226377402732;0.3093606187907743;2.2919877393027024;-0.0718949806884728;3.642455361608576;1.675136263991682;0.497766311887429;0.2745400837476214;124.82
2040-01-03 09:00:00;272.66;108.49;50;5.815349658890706;5;108;137.185714286;30.32;126.0;0.2325244211776588;0.6383638002457362;1.0052315144844388;0.3093451119650479;2.353595710677664;-0.0791729704572433;3.642453906793362;1.6751362002796806;0.499133224648443;0.2745401934004007;124.82
2040-01-03 10:00:00;271.47;108.25;50;5.815349658890706;5;108;137.185714286;30.32;126.0;0.2001398874299093;0.5895458035090242;1.0052315144844388;0.3093451119650479;2.353595710677664;-0.0791729704572433;3.642453906793362;1.6751362002796806;0.499133224648443;0.2745401934004007;124.82
2040-01-03 11:00:00;264.86;108.4;50;5.815349658890706;5;108;137.185714286;30.32;126.0;0.1899789455465401;0.5895458035090244;1.0052315144844388;0.3093451119650479;2.353595710677664;-0.0791729704572433;3.642453906793362;1.6751362002796806;0.499133224648443;0.2745401934004007;124.82
2040-01-03 12:00:00;251.1;107.54;50;5.815349658890706;5;107;137.185714286;30.32;126.0;0.1972977568159897;0.5895458035090244;1.0099961870900114;0.3093113713604025;2.381750965624265;-0.0820687104138795;3.642453241731887;1.675136168413184;0.499815854674825;0.2745402435276113;124.82
2040-01-03 13:00:00;243.35;106.37;50;5.815349658890706;5;106;137.185714286;30.32;126.0;0.2721249850723918;0.7162262690296731;1.014819961882857;0.3092621104224395;2.4104459778489185;-0.0850260427887409;3.642452622548899;1.6751361365226929;0.5004973907740338;0.2745402901968375;124.82
2040-01-03 14:00:00;245.38;105.97;50;5.815349658890706;5;105;137.185714286;30.32;126.0;0.3678840334539429;0.838423671357974;1.0197038089962538;0.3091976348769284;2.4396912606851044;-0.0880451596470035;3.642452039299752;1.6751361042914723;0.5011783883111377;0.2745403341576318;124.82
2040-01-03 15:00:00;259.8;106.11;50;5.815349658890706;5;106;137.185714286;30.32;126.0;0.3577573045253497;0.780480650620829;1.014819961882857;0.3092621104224395;2.4104459778489185;-0.0850260427887409;3.642452622548899;1.6751361365226929;0.5004973907740338;0.2745402901968375;124.82
2040-01-03 16:00:00;281.15;107.65;50;5.815349658890706;5;107;137.185714286;30.32;126.0;0.3527827449696679;0.7804806506208293;1.0099961870900114;0.3093113713604025;2.381750965624265;-0.0820687104138795;3.642453241731887;1.675136168413184;0.499815854674825;0.2745402435276113;124.82
2040-01-03 17:00:00;302.07;110.58;50;5.815349658890706;5;110;137.185714286;30.32;126.0;0.4698091645603417;1.029358518469779;0.9962226377402732;0.3093606187907743;2.2919877393027024;-0.0718949806884728;3.642455361608576;1.675136263991682;0.497766311887429;0.2745400837476214;124.82
2040-01-03 18:00:00;296.72;111.44;50;5.815349658890706;5;111;137.185714286;30.32;126.0;0.4735672921479664;1.0293585184697784;0.991839192712038;0.3093232287689898;2.2615631325371424;-0.0682536884822515;3.642456116380116;1.675136295850984;0.4970770471780881;0.2745400268587591;124.82
2040-01-03 19:00:00;272.67;110.01;50;5.815349658890706;5;110;137.185714286;30.32;126.0;0.39723392351792;0.8911776568282143;0.9962226377402732;0.3093606187907743;2.2919877393027024;-0.0718949806884728;3.642455361608576;1.675136263991682;0.497766311887429;0.2745400837476214;124.82
2040-01-03 20:00:00;278.35;112.54;50;5.815349658890706;5;112;137.185714286;30.32;126.0;0.281753885788548;0.6723210324793698;0.987511747127442;0.3092547421343981;2.231847574121714;-0.0647251146090371;3.642456819203983;1.67513632774787;0.4963901879543583;0.2745399738853643;124.82
2040-01-03 21:00:00;230.56;106.72;50;5.815349658890706;5;106;137.185714286;30.32;126.0;0.2258210954217473;0.5895458035090242;1.014819961882857;0.3092621104224395;2.4104459778489185;-0.0850260427887409;3.642452622548899;1.6751361365226929;0.5004973907740338;0.2745402901968375;124.82
2040-01-03 22:00:00;210.03;105.92;50;5.815349658890706;5;105;122.047058824;30.32;126.0;0.1306351357168043;0.4574070687396224;1.0197038089962538;0.3091976348769284;2.4396912606851044;-0.0880451596470035;3.642452039299752;1.6751361042914723;0.5011783883111377;0.2745403341576318;124.82
2040-01-03 23:00:00;199.26;104.01;50;5.815349658890706;5;104;111.004757016;30.32;126.0;0.1222339499087092;0.4456000000000001;1.0246486749723214;0.3091183078099583;2.4694972629598806;-0.0911261537093004;3.6424514883771058;1.6751360709009382;0.5018569756063949;0.2745403756818886;124.82
2040-01-04 00:00:00;195.02;104.73;50;5.815349658890706;5;104;111.004757016;30.32;126.0;0.1211951981408095;0.4455999999999998;1.0246486749723214;0.3091183078099583;2.4694972629598806;-0.0911261537093004;3.6424514883771058;1.6751360709009382;0.5018569756063949;0.2745403756818886;124.82
2040-01-04 01:00:00;186.84;102.46;50;5.815349658890706;5;102;111.004757016;30.32;126.0;0.119580592955058;0.4455999999999999;1.026991398418615;0.3082727619976261;2.533814002699808;-0.0983108649589227;3.6424504789979215;1.6751360034517804;0.5032124652240861;0.2745404517609743;124.82
2040-01-04 02:00:00;189.97;101.18;50;5.815349658890706;5;101;111.004757016;30.32;126.0;0.1177332772670222;0.4455999999999999;1.024205774087331;0.3074888652027516;2.568556034764525;-0.1024543417289998;3.642474479678195;1.675135969727456;0.5030590223827603;0.2745386427781278;124.82
2040-01-04 03:00:00;196.84;100.82;50;5.815349658890706;5;100;111.004757016;30.32;126.0;0.1164665477912219;0.4456000000000001;1.0212931400023486;0.3066728731934419;2.604120971596936;-0.1067006140749684;3.642473746646822;1.6751359359594935;0.5037649446513661;0.2745386980277842;124.82
2040-01-04 04:00:00;224.83;104.64;50;5.815349658890706;5;104;111.004757016;30.32;126.0;0.1160693727106472;0.4455999999999999;1.0246486749723214;0.3091183078099583;2.4694972629598806;-0.0911261537093004;3.6424514883771058;1.6751360709009382;0.5018569756063949;0.2745403756818886;124.82
2040-01-04 05:00:00;221.93;102.08;50;5.815349658890706;5;102;118.385647059;30.32;126.0;0.1155421918560822;0.4456;1.026991398418615;0.3082727619976261;2.533814002699808;-0.0983108649589227;3.6424504789979215;1.6751360034517804;0.5032124652240861;0.2745404517609743;124.82
2040-01-04 06:00:00;246.69;103.71;50;5.815349658890706;5;103;125.429103973;30.32;126.0;0.205659420928891;0.6237353814253322;1.0296554769073805;0.3090245552820264;2.49987432755227;-0.0942690062938616;3.642450968822616;1.6751360372344817;0.5025347708305133;0.2745404148418406;124.82
2040-01-04 07:00:00;248.33;103.65;50;5.815349658890706;5;103;125.429103973;30.32;126.0;0.2113301406766316;0.6516658108570775;1.0296554769073805;0.3090245552820264;2.49987432755227;-0.0942690062938616;3.642450968822616;1.6751360372344817;0.5025347708305133;0.2745404148418406;124.82
2040-01-04 08:00:00;247.07;103.02;50;5.815349658890706;5;103;122.047058824;30.32;126.0;0.150832594237284;0.550948945160947;1.0296554769073805;0.3090245552820264;2.49987432755227;-0.0942690062938616;3.642450968822616;1.6751360372344817;0.5025347708305133;0.2745404148418406;124.82
2040-01-04 09:00:00;268.45;105.74;50;5.815349658890706;5;105;118.385647059;30.32;126.0;0.0910836184692845;0.4455999999999999;1.0197038089962538;0.3091976348769284;2.4396912606851044;-0.0880451596470035;3.642452039299752;1.6751361042914723;0.5011783883111377;0.2745403341576318;124.82
2040-01-04 10:00:00;267.44;106.38;50;5.815349658890706;5;106;108.011647059;30.32;126.0;0.082619380917288;0.4456000000000001;1.014819961882857;0.3092621104224395;2.4104459778489185;-0.0850260427887409;3.642452622548899;1.6751361365226929;0.5004973907740338;0.2745402901968375;124.82
