date;heat_demand;temp_feed_flow;temp_back_flow;T_foerde_scaled;T_hs_ff;T_cons_ff;el_spot_price;gas_price;co2_price;ef_om;ef_dm;ccet_H_max;ccet_H_min;ccet_eta_el;ccet_eta_th
2019-01-01 00:00:00;157.89;91.34;50;6.175611074554423;6;91;28.32;24.134;22.95;0.286195554;0.597355676;3.6424662760945337;1.675135618390213;0.5102553111680384;0.2745392610955489
2019-01-01 01:00:00;156.96;91.64;50;6.175611074554423;6;91;10.07;24.134;22.95;0.257761652;0.581763038;3.6424662760945337;1.675135618390213;0.5102553111680384;0.2745392610955489
2019-01-01 02:00:00;154.9;90.82;50;6.175611074554423;6;90;-4.08;24.134;22.95;0.253603107;0.588733567;3.6424655061313977;1.675135581989342;0.5109714819132982;0.2745393191290686
2019-01-01 03:00:00;143.27;87.92;50;6.175611074554423;6;87;-9.91;24.134;22.95;0.249412139;0.606164132;3.642462625148599;1.6751354696795415;0.5131316878759737;0.2745395362742038
2019-01-01 04:00:00;155.22;88.26;50;6.175611074554423;6;88;-7.41;24.134;22.95;0.241034346;0.605743968;3.6424636611589207;1.675135508439062;0.5124120459345632;0.2745394581881009
2019-01-01 05:00:00;176.6;89.39;50;6.175611074554423;6;89;-12.55;24.134;22.95;0.235239654;0.605530196;3.6424645832695743;1.6751355453539905;0.5116919498213934;0.2745393886868755
2019-01-01 06:00:00;202.67;92.51;50;6.175611074554423;6;92;-17.25;24.134;22.95;0.228212169;0.603800258;3.6424670570618978;1.6751356546237737;0.5095375169710804;0.2745392022326479
2019-01-01 07:00:00;205.65;93.63;50;6.175611074554423;6;93;-15.07;24.134;22.95;0.224483986;0.599208076;3.6424678564529778;1.6751356908258033;0.5088186438508916;0.2745391419811431
2019-01-01 08:00:00;204.26;94.68;50;6.175611074554423;6;94;-4.93;24.134;22.95;0.220495689;0.597108381;3.64246865847468;1.6751357264722042;0.5080990972797259;0.2745390815313895
2019-01-01 09:00:00;202.25;94.45;50;6.175611074554423;6;94;-6.33;24.134;22.95;0.224922144;0.607552058;3.64246865847468;1.6751357264722042;0.5080990972797259;0.2745390815313895
2019-01-01 10:00:00;201.91;94.45;50;6.175611074554423;6;94;-4.93;24.134;22.95;0.220612911;0.617609861;3.64246865847468;1.6751357264722042;0.5080990972797259;0.2745390815313895
2019-01-01 11:00:00;201.85;94.43;50;6.175611074554423;6;94;0.45;24.134;22.95;0.212482792;0.615751442;3.64246865847468;1.6751357264722042;0.5080990972797259;0.2745390815313895
2019-01-01 12:00:00;201.48;94.28;50;6.175611074554423;6;94;0.12;24.134;22.95;0.211189202;0.610698775;3.64246865847468;1.6751357264722042;0.5080990972797259;0.2745390815313895
2019-01-01 13:00:00;208.39;94.78;50;6.175611074554423;6;94;-0.02;24.134;22.95;0.211466429;0.610990571;3.64246865847468;1.6751357264722042;0.5080990972797259;0.2745390815313895
2019-01-01 14:00:00;210.86;95.22;50;6.175611074554423;6;95;0.0;24.134;22.95;0.212270669;0.609839178;3.6424694613826887;1.67513576186545;0.5073785621363227;0.2745390210148601
2019-01-01 15:00:00;234.89;97.54;50;6.175611074554423;6;97;-0.03;24.134;22.95;0.223688838;0.604211511;3.642471135093296;1.675135832094476;0.5059313065980704;0.2745388948645817
2019-01-01 16:00:00;246.54;99.89;50;6.175611074554423;6;99;1.97;24.134;22.95;0.227469087;0.595484528;3.642472971722004;1.675135901888558;0.5044805199632159;0.2745387564350376
2019-01-01 17:00:00;237.96;100.33;50;6.175611074554423;6;100;9.06;24.134;22.95;0.227025954;0.592873435;3.642473746646822;1.6751359359594935;0.5037649446513661;0.2745386980277842
2019-01-01 18:00:00;219.61;98.39;50;6.175611074554423;6;98;0.07;24.134;22.95;0.223789549;0.595445852;3.642472018955495;1.6751358670562966;0.5052046533622626;0.2745388282465186
2019-01-01 19:00:00;210.98;96.93;50;6.175611074554423;6;96;-4.97;24.134;22.95;0.218350712;0.605478596;3.642470263317862;1.6751357970704517;0.506657332755907;0.2745389605716823
2019-01-01 20:00:00;210.1;97.12;50;6.175611074554423;6;97;-6.98;24.134;22.95;0.215045055;0.617658773;3.642471135093296;1.675135832094476;0.5059313065980704;0.2745388948645817
2019-01-01 21:00:00;205.69;98.15;50;6.175611074554423;6;98;-24.93;24.134;22.95;0.216417715;0.631082766;3.642472018955495;1.6751358670562966;0.5052046533622626;0.2745388282465186
2019-01-01 22:00:00;184.68;96.36;50;6.175611074554423;6;96;-4.87;24.134;22.95;0.223970481;0.630856513;3.642470263317862;1.6751357970704517;0.506657332755907;0.2745389605716823
2019-01-01 23:00:00;181.2;96.89;50;6.175611074554423;6;96;-28.93;24.134;22.95;0.217072615;0.63255548;3.642470263317862;1.6751357970704517;0.506657332755907;0.2745389605716823
2019-01-02 00:00:00;192.06;99.76;50;6.069655989754669;6;99;-33.57;24.134;22.95;0.22519613;0.642577347;3.642472971722004;1.675135901888558;0.5044805199632159;0.2745387564350376
2019-01-02 01:00:00;195.33;100.88;50;6.069655989754669;6;100;-45.92;24.134;22.95;0.213797495;0.616798494;3.642473746646822;1.6751359359594935;0.5037649446513661;0.2745386980277842
2019-01-02 02:00:00;203.88;104.5;50;6.069655989754669;6;104;-48.29;24.134;22.95;0.217803094;0.620232347;3.6424514883771058;1.6751360709009382;0.5018569756063949;0.2745403756818886
2019-01-02 03:00:00;203.45;106.31;50;6.069655989754669;6;106;-44.99;24.134;22.95;0.221644296;0.622321029;3.642452622548899;1.6751361365226929;0.5004973907740338;0.2745402901968375
