timeindex;heat_demand;temp_feed_flow;temp_back_flow;T_foerde_scaled;T_hs_ff;T_cons_ff;el_spot_price;gas_price;co2_price;ef_om;ef_dm;hp_Q_max;hp_Q_min;hp_c_1;hp_c_0;ccet_H_max;ccet_H_min;ccet_eta_el;ccet_eta_th;biogas_price
2040-11-07 05:00:00;201.9;97.01;50;9.771020285425204;9;97;112.876020528;35.28;80.0;0.4983482767680698;0.921608621107442;0.9887020691631244;0.2930230428407888;2.865350597224813;-0.1294775385844677;3.642471135093296;1.675135832094476;0.5059313065980704;0.2745388948645817;124.82
2040-11-07 06:00:00;191.72;94.01;50;9.771020285425204;9;94;112.876020528;35.28;80.0;0.5462828975270279;1.0053351237046435;0.9951598745532472;0.2938059933391421;2.94784859695869;-0.1324577288402946;3.64246865847468;1.6751357264722042;0.5080990972797259;0.2745390815313895;124.82
2040-11-07 07:00:00;193.63;93.81;50;9.771020285425204;9;93;112.876020528;35.28;80.0;0.5130432728828781;0.9770186232443002;0.9973222411546896;0.2940727125114807;2.9761205874395875;-0.1334518864997572;3.6424678564529778;1.6751356908258033;0.5088186438508916;0.2745391419811431;124.82
2040-11-07 08:00:00;194.7;92.89;50;9.771020285425204;9;92;103.460972018;35.28;80.0;0.4342275767231575;0.921608621107442;0.99971533084347;0.2944253697043639;3.003370903940081;-0.1340938736176821;3.6424670570618978;1.6751356546237737;0.5095375169710804;0.2745392022326479;124.82
2040-11-07 09:00:00;197.91;93.04;50;9.771020285425204;9;93;100.357142857;35.28;80.0;0.2663789223860121;0.7563843391490711;0.9973222411546896;0.2940727125114807;2.9761205874395875;-0.1334518864997572;3.6424678564529778;1.6751356908258033;0.5088186438508916;0.2745391419811431;124.82
2040-11-07 10:00:00;191.71;92.97;50;9.771020285425204;9;92;99.8952781674;35.28;80.0;0.1866997286474306;0.9455233591976347;0.99971533084347;0.2944253697043639;3.003370903940081;-0.1340938736176821;3.6424670570618978;1.6751356546237737;0.5095375169710804;0.2745392022326479;124.82
2040-11-07 11:00:00;166.71;90.73;50;9.771020285425204;9;90;99.8952781674;35.28;80.0;0.1669910035482147;1.0225660920346242;1.0054469230644862;0.2954960024619027;3.053041210767655;-0.1339020681857743;3.6424655061313977;1.675135581989342;0.5109714819132982;0.2745393191290686;124.82
2040-11-07 12:00:00;149.59;87.9;50;9.771020285425204;9;87;99.8952781674;35.28;80.0;0.1825143460049112;0.8777836548813595;1.0141683366620269;0.2972058307559808;3.129499586705279;-0.1334004425122027;3.642462625148599;1.6751354696795415;0.5131316878759737;0.2745395362742038;124.82
2040-11-07 13:00:00;145.03;86.17;50;9.771020285425204;9;86;99.8952781674;35.28;80.0;0.2091692330639227;0.8369746985796135;1.0169970803759127;0.2977900630083102;3.153378441358077;-0.1326908704111183;3.642461533791108;1.6751354299490724;0.5138505409519345;0.2745396185319789;124.82
2040-11-07 14:00:00;163.18;88.0;50;9.771020285425204;9;88;100.357142857;35.28;80.0;0.3799127848910589;0.8823619992535989;1.0112444463342285;0.2966216079436944;3.103748812569319;-0.1335970713590053;3.6424636611589207;1.675135508439062;0.5124120459345632;0.2745394581881009;124.82
2040-11-07 15:00:00;179.66;89.81;50;9.771020285425204;9;89;116.367031472;35.28;80.0;0.5667778139490173;1.032194782499929;1.0083373624022125;0.2960517745921402;3.078263759267576;-0.1337640511172346;3.6424645832695743;1.6751355453539905;0.5116919498213934;0.2745393886868755;124.82
2040-11-07 16:00:00;189.22;90.56;50;9.771020285425204;9;90;116.367031472;35.28;80.0;0.5784002423825645;1.0369136497663352;1.0054469230644862;0.2954960024619027;3.053041210767655;-0.1339020681857743;3.6424655061313977;1.675135581989342;0.5109714819132982;0.2745393191290686;124.82
2040-11-07 17:00:00;218.3;95.09;50;9.771020285425204;9;95;116.367031472;35.28;80.0;0.5674211100514406;1.0369136497663347;0.9930024499927496;0.2935421906684208;2.9199682165988325;-0.131463937680386;3.6424694613826887;1.67513576186545;0.5073785621363227;0.2745390210148601;124.82
2040-11-07 18:00:00;206.31;95.45;50;9.771020285425204;9;95;116.367031472;35.28;80.0;0.5744861115926948;1.0369136497663352;0.9930024499927496;0.2935421906684208;2.9199682165988325;-0.131463937680386;3.6424694613826887;1.67513576186545;0.5073785621363227;0.2745390210148601;124.82
2040-11-07 19:00:00;189.84;94.42;50;9.771020285425204;9;94;116.367031472;35.28;80.0;0.5843550653194235;1.020953806292517;0.9951598745532472;0.2938059933391421;2.94784859695869;-0.1324577288402946;3.64246865847468;1.6751357264722042;0.5080990972797259;0.2745390815313895;124.82
2040-11-07 20:00:00;174.42;92.4;50;9.771020285425204;9;92;116.367031472;35.28;80.0;0.5542517778620762;0.921608621107442;0.99971533084347;0.2944253697043639;3.003370903940081;-0.1340938736176821;3.6424670570618978;1.6751356546237737;0.5095375169710804;0.2745392022326479;124.82
2040-11-07 21:00:00;173.27;92.66;50;9.771020285425204;9;92;103.460972018;35.28;80.0;0.5874509860588325;0.921608621107442;0.99971533084347;0.2944253697043639;3.003370903940081;-0.1340938736176821;3.6424670570618978;1.6751356546237737;0.5095375169710804;0.2745392022326479;124.82
2040-11-07 22:00:00;182.82;96.32;50;9.771020285425204;9;96;102.984822853;35.28;80.0;0.6082597003728467;0.921608621107442;0.9908498774905848;0.2932812309136502;2.8924714710459565;-0.1304705342920151;3.642470263317862;1.6751357970704517;0.506657332755907;0.2745389605716823;124.82
2040-11-07 23:00:00;179.99;98.5;50;9.771020285425204;9;98;102.984822853;35.28;80.0;0.6154410049998265;0.921608621107442;0.987232132339314;0.292974867325109;2.8359906615852104;-0.1278167018492173;3.642472018955495;1.6751358670562966;0.5052046533622626;0.2745388282465186;124.82
2040-11-08 00:00:00;153.93;95.15;50;9.721560451840691;9;95;100.357142857;35.28;80.0;0.6260252283589035;0.921608621107442;0.9930024499927496;0.2935421906684208;2.9199682165988325;-0.131463937680386;3.6424694613826887;1.67513576186545;0.5073785621363227;0.2745390210148601;124.82
2040-11-08 01:00:00;148.34;94.99;50;9.721560451840691;9;94;100.357142857;35.28;80.0;0.6411657166478916;0.921608621107442;0.9951598745532472;0.2938059933391421;2.94784859695869;-0.1324577288402946;3.64246865847468;1.6751357264722042;0.5080990972797259;0.2745390815313895;124.82
2040-11-08 02:00:00;151.8;94.98;50;9.721560451840691;9;94;102.984822853;35.28;80.0;0.6474921893204069;0.921608621107442;0.9951598745532472;0.2938059933391421;2.94784859695869;-0.1324577288402946;3.64246865847468;1.6751357264722042;0.5080990972797259;0.2745390815313895;124.82
2040-11-08 03:00:00;161.93;95.68;50;9.721560451840691;9;95;102.984822853;35.28;80.0;0.6425098591322417;0.921608621107442;0.9930024499927496;0.2935421906684208;2.9199682165988325;-0.131463937680386;3.6424694613826887;1.67513576186545;0.5073785621363227;0.2745390210148601;124.82
2040-11-08 04:00:00;164.82;93.62;50;9.721560451840691;9;93;102.984822853;35.28;80.0;0.6270518790073708;0.921608621107442;0.9973222411546896;0.2940727125114807;2.9761205874395875;-0.1334518864997572;3.6424678564529778;1.6751356908258033;0.5088186438508916;0.2745391419811431;124.82
2040-11-08 05:00:00;198.33;98.53;50;9.721560451840691;9;98;116.367031472;35.28;80.0;0.6919613422058934;1.036913649766335;0.987232132339314;0.292974867325109;2.8359906615852104;-0.1278167018492173;3.642472018955495;1.6751358670562966;0.5052046533622626;0.2745388282465186;124.82
2040-11-08 06:00:00;194.13;97.11;50;9.721560451840691;9;97;116.367031472;35.28;80.0;0.6807857486114945;1.036913649766335;0.9887020691631244;0.2930230428407888;2.865350597224813;-0.1294775385844677;3.642471135093296;1.675135832094476;0.5059313065980704;0.2745388948645817;124.82
2040-11-08 07:00:00;182.51;93.95;50;9.721560451840691;9;93;116.367031472;35.28;80.0;0.6374614121957043;1.036913649766335;0.9973222411546896;0.2940727125114807;2.9761205874395875;-0.1334518864997572;3.6424678564529778;1.6751356908258033;0.5088186438508916;0.2745391419811431;124.82
2040-11-08 08:00:00;186.44;92.24;50;9.721560451840691;9;92;116.367031472;35.28;80.0;0.5394132550776426;0.9873944731236666;0.99971533084347;0.2944253697043639;3.003370903940081;-0.1340938736176821;3.6424670570618978;1.6751356546237737;0.5095375169710804;0.2745392022326479;124.82
2040-11-08 09:00:00;201.03;93.69;50;9.721560451840691;9;93;102.984822853;35.28;80.0;0.4353294214110372;0.921608621107442;0.9973222411546896;0.2940727125114807;2.9761205874395875;-0.1334518864997572;3.6424678564529778;1.6751356908258033;0.5088186438508916;0.2745391419811431;124.82
2040-11-08 10:00:00;203.62;94.87;50;9.721560451840691;9;94;100.357142857;35.28;80.0;0.3967815656980207;0.9216086211074423;0.9951598745532472;0.2938059933391421;2.94784859695869;-0.1324577288402946;3.64246865847468;1.6751357264722042;0.5080990972797259;0.2745390815313895;124.82
2040-11-08 11:00:00;182.59;93.25;50;9.721560451840691;9;93;100.357142857;35.28;80.0;0.2862383530354618;0.7837705319981886;0.9973222411546896;0.2940727125114807;2.9761205874395875;-0.1334518864997572;3.6424678564529778;1.6751356908258033;0.5088186438508916;0.2745391419811431;124.82
2040-11-08 12:00:00;164.84;90.59;50;9.721560451840691;9;90;100.357142857;35.28;80.0;0.2864255978748024;0.7801781850499708;1.0054469230644862;0.2954960024619027;3.053041210767655;-0.1339020681857743;3.6424655061313977;1.675135581989342;0.5109714819132982;0.2745393191290686;124.82
2040-11-08 13:00:00;165.32;89.96;50;9.721560451840691;9;89;100.357142857;35.28;80.0;0.4128752786584153;0.921608621107442;1.0083373624022125;0.2960517745921402;3.078263759267576;-0.1337640511172346;3.6424645832695743;1.6751355453539905;0.5116919498213934;0.2745393886868755;124.82
2040-11-08 14:00:00;166.39;89.97;50;9.721560451840691;9;89;103.460972018;35.28;80.0;0.4787291111421379;0.921608621107442;1.0083373624022125;0.2960517745921402;3.078263759267576;-0.1337640511172346;3.6424645832695743;1.6751355453539905;0.5116919498213934;0.2745393886868755;124.82
2040-11-08 15:00:00;170.89;89.96;50;9.721560451840691;9;89;116.367031472;35.28;80.0;0.6542885195101781;1.0369136497663352;1.0083373624022125;0.2960517745921402;3.078263759267576;-0.1337640511172346;3.6424645832695743;1.6751355453539905;0.5116919498213934;0.2745393886868755;124.82
2040-11-08 16:00:00;184.67;90.38;50;9.721560451840691;9;90;116.367031472;35.28;80.0;0.7741769642895723;1.187210309171223;1.0054469230644862;0.2954960024619027;3.053041210767655;-0.1339020681857743;3.6424655061313977;1.675135581989342;0.5109714819132982;0.2745393191290686;124.82
2040-11-08 17:00:00;200.6;91.21;50;9.721560451840691;9;91;116.367031472;35.28;80.0;0.7586611817712776;1.187210309171223;1.0025729664720815;0.2949539715160226;3.0280779788708614;-0.1340117916249847;3.6424662760945337;1.675135618390213;0.5102553111680384;0.2745392610955489;124.82
2040-11-08 18:00:00;201.2;91.59;50;9.721560451840691;9;91;116.367031472;35.28;80.0;0.669699925285439;1.0435739049792996;1.0025729664720815;0.2949539715160226;3.0280779788708614;-0.1340117916249847;3.6424662760945337;1.675135618390213;0.5102553111680384;0.2745392610955489;124.82
2040-11-08 19:00:00;196.23;92.18;50;9.721560451840691;9;92;116.367031472;35.28;80.0;0.6761697502968774;1.0369136497663347;0.99971533084347;0.2944253697043639;3.003370903940081;-0.1340938736176821;3.6424670570618978;1.6751356546237737;0.5095375169710804;0.2745392022326479;124.82
2040-11-08 20:00:00;183.53;90.52;50;9.721560451840691;9;90;116.367031472;35.28;80.0;0.6817426785197479;1.0146880703276364;1.0054469230644862;0.2954960024619027;3.053041210767655;-0.1339020681857743;3.6424655061313977;1.675135581989342;0.5109714819132982;0.2745393191290686;124.82
2040-11-08 21:00:00;186.07;91.85;50;9.721560451840691;9;91;116.367031472;35.28;80.0;0.6577859788315077;0.9570756582009085;1.0025729664720815;0.2949539715160226;3.0280779788708614;-0.1340117916249847;3.6424662760945337;1.675135618390213;0.5102553111680384;0.2745392610955489;124.82
